llm,id,dataset,prompt,similarity
gpt,2004_447,essays,SG,0.9875467727608306
gpt,1998_859548,essays,SG,0.9665442510702764
gpt,1998_959637,essays,SG,0.9819515825226982
gpt,2002_747057,essays,SG,0.9799899363475779
gpt,2000_125323,essays,SG,0.9889849630381685
gpt,1998_596111,essays,SG,0.9860282441242805
gpt,2004_216,essays,SG,0.9797092155100801
gpt,1999_934611,essays,SG,0.9772830382934437
gpt,2000_839089,essays,SG,0.9900914939845504
gpt,1997_756297,essays,SG,0.9827424108985027
gpt,2000_891622,essays,SG,0.974337177019361
gpt,2000_758531,essays,SG,0.9859346033370433
gpt,2003_42,essays,SG,0.9876065284656839
gpt,2000_579092,essays,SG,0.9863583244689165
gpt,2000_036354,essays,SG,0.9804273107579529
gpt,2003_513,essays,SG,0.9829160548818113
gpt,1998_449776,essays,SG,0.9855095536427774
gpt,1998_894005,essays,SG,0.9598798274626643
gpt,1999_572353,essays,SG,0.9799879215518137
gpt,1998_167124,essays,SG,0.9810563691036981
gpt,2000_750679,essays,SG,0.962788492767401
gpt,2004_372,essays,SG,0.979762972261973
gpt,2004_104,essays,SG,0.9810027893048514
gpt,2004_178,essays,SG,0.9794068267342857
gpt,2002_037308,essays,SG,0.9660647512330359
gpt,2003_510,essays,SG,0.9808344379684943
gpt,2000_812774,essays,SG,0.9950838693693197
gpt,1997_884710,essays,SG,0.9767172391416614
gpt,2004_125,essays,SG,0.9863360959765691
gpt,1998_012971,essays,SG,0.9633316331002895
gpt,1997_858052,essays,SG,0.9882413444489536
gpt,1999_895575,essays,SG,0.9809418276273751
gpt,2004_114,essays,SG,0.973052633692049
gpt,1999_771726,essays,SG,0.989983365625872
gpt,2000_918314,essays,SG,0.9630242561129476
gpt,1997_750427,essays,SG,0.9863319922984
gpt,1999_595780,essays,SG,0.9716516423139075
gpt,2003_292,essays,SG,0.9897960269695109
gpt,2002_939162,essays,SG,0.9841818508343665
gpt,2004_37,essays,SG,0.9845949389188631
gpt,2000_815592,essays,SG,0.9857277147418329
gpt,2002_643142,essays,SG,0.9783449961357041
gpt,1997_396947,essays,SG,0.9879117797206014
gpt,1999_974267,essays,SG,0.9874425528630179
gpt,1998_987677,essays,SG,0.9861967002438292
gpt,1997_898394,essays,SG,0.9830988272524721
gpt,1997_881327,essays,SG,0.9691431543307717
gpt,1997_991545,essays,SG,0.9752689609995395
gpt,1999_536608,essays,SG,0.9764602874362918
gpt,2000_952457,essays,SG,0.9765084342215229
gpt,2004_97,essays,SG,0.9902981679247365
gpt,2003_512,essays,SG,0.9719983612797121
gpt,1999_658999,essays,SG,0.9805680090381943
gpt,1999_910113,essays,SG,0.972230311452977
gpt,2002_953283,essays,SG,0.9765495294903033
gpt,1997_450911,essays,SG,0.9907777367625653
gpt,2004_299,essays,SG,0.9893562919216357
gpt,1997_536654,essays,SG,0.9766025582705965
gpt,2004_312,essays,SG,0.9774561076828905
gpt,1998_781969,essays,SG,0.9690589397783345
gpt,1997_867722,essays,SG,0.9830274931469437
gpt,1999_556061,essays,SG,0.9642619044069862
gpt,1999_553171,essays,SG,0.9793891121496152
gpt,1998_799973,essays,SG,0.9790271074451667
gpt,1998_857967,essays,SG,0.9800622078978266
gpt,1997_579130,essays,SG,0.9699444729015468
gpt,2002_725541,essays,SG,0.9750707527537892
gpt,1998_579133,essays,SG,0.9784670281406249
gpt,1997_161444,essays,SG,0.9801041841627939
gpt,1999_680598,essays,SG,0.9879428911955577
gpt,2003_569,essays,SG,0.9806686344125667
gpt,1998_892987,essays,SG,0.9894310253793334
gpt,2000_912233,essays,SG,0.9832031279827355
gpt,1997_555388,essays,SG,0.9887195548570107
gpt,1999_714384,essays,SG,0.9769581025382074
gpt,1998_475235,essays,SG,0.9796752316595922
gpt,1999_643860,essays,SG,0.9552768506257725
gpt,2002_897828,essays,SG,0.9811801501691325
gpt,1999_990785,essays,SG,0.9770118296057009
gpt,1999_638698,essays,SG,0.977439822992844
gpt,2004_421,essays,SG,0.9811641063940482
gpt,2000_939521,essays,SG,0.975873897779974
gpt,2000_654954,essays,SG,0.969624608162023
gpt,2000_679010,essays,SG,0.9700963589742224
gpt,2003_33,essays,SG,0.9705076952693548
gpt,1998_129982,essays,SG,0.9832010500916908
gpt,1997_697536,essays,SG,0.978335272045866
gpt,2003_376,essays,SG,0.9825185148819876
gpt,2003_562,essays,SG,0.9805638448625871
gpt,1997_574472,essays,SG,0.9769057252466652
gpt,2000_878834,essays,SG,0.9746645960542021
gpt,1997_950322,essays,SG,0.9844332493386193
gpt,1997_366633,essays,SG,0.9818560228074246
gpt,2002_178264,essays,SG,0.9643661945724354
gpt,1999_736368,essays,SG,0.9613380677936649
gpt,1999_800087,essays,SG,0.9629634041869004
gpt,1998_798752,essays,SG,0.9901929837886285
gpt,1998_938927,essays,SG,0.9723646816783149
gpt,1999_811591,essays,SG,0.9892368351149826
gpt,1997_872282,essays,SG,0.9811123133229716
gpt,1999_854693,essays,SG,0.9757597527148733
gpt,2003_106,essays,SG,0.981152113715337
gpt,1999_576140,essays,SG,0.9853129339127231
gpt,2000_854458,essays,SG,0.980529708250093
gpt,1997_475230,essays,SG,0.9803684394900731
gpt,1998_804864,essays,SG,0.9758949907438008
gpt,2000_894277,essays,SG,0.9827184552263307
gpt,2003_225,essays,SG,0.9710750101589042
gpt,1997_819346,essays,SG,0.9699522030666334
gpt,2004_321,essays,SG,0.9837620758895635
gpt,1997_758922,essays,SG,0.9790949211377417
gpt,2000_495087,essays,SG,0.9596926877884508
gpt,1998_893373,essays,SG,0.9703109964943126
gpt,2002_738727,essays,SG,0.9793216386341985
gpt,2003_540,essays,SG,0.9668030054388533
gpt,1999_539521,essays,SG,0.990595487782406
gpt,1997_336857,essays,SG,0.9903996498658837
gpt,1999_876264,essays,SG,0.9703742058238326
gpt,1998_931283,essays,SG,0.9798401521346408
gpt,2003_320,essays,SG,0.9876297968084393
gpt,1999_901945,essays,SG,0.9923069768564993
gpt,2003_133,essays,SG,0.9914210639191974
gpt,2003_167,essays,SG,0.988874929356052
gpt,2003_46,essays,SG,0.9778774718724257
gpt,2004_374,essays,SG,0.9595665935376847
gpt,2000_127329,essays,SG,0.990207205296988
gpt,2000_556380,essays,SG,0.9732122376622856
gpt,1997_410675,essays,SG,0.9886240726805116
gpt,1999_782869,essays,SG,0.9789194171143236
gpt,1999_973407,essays,SG,0.9753755196217909
gpt,1998_913932,essays,SG,0.9088333691877591
gpt,2004_267,essays,SG,0.9854451428795976
gpt,1998_916137,essays,SG,0.9849131344911629
gpt,1998_984104,essays,SG,0.9861809913532628
gpt,2004_173,essays,SG,0.9775200664888084
gpt,2000_579209,essays,SG,0.9870342869843491
gpt,2004_354,essays,SG,0.9912577521771804
gpt,2000_834851,essays,SG,0.9858828175990306
gpt,2003_312,essays,SG,0.9870029863744527
gpt,2003_209,essays,SG,0.9899086164704303
gpt,2003_492,essays,SG,0.9538015874453176
gpt,2003_534,essays,SG,0.9841774109279869
gpt,1999_877851,essays,SG,0.9779592978255663
gpt,2002_975468,essays,SG,0.9772869027623956
gpt,2000_732617,essays,SG,0.9847595103169658
gpt,2002_183166,essays,SG,0.9787736318818412
gpt,2004_139,essays,SG,0.9901364438492007
gpt,2002_913549,essays,SG,0.9655753577168013
gpt,2002_494571,essays,SG,0.9577765125026007
gpt,2003_502,essays,SG,0.9885792918603631
gpt,1998_203337,essays,SG,0.9904519424151321
gpt,1999_994744,essays,SG,0.9906483402078126
gpt,1997_790253,essays,SG,0.984532920556306
gpt,2004_53,essays,SG,0.9578393626971251
gpt,2002_121357,essays,SG,0.9795182547724974
gpt,1997_233350,essays,SG,0.9826614513254743
gpt,1999_576725,essays,SG,0.978609375198175
gpt,1997_733444,essays,SG,0.9539949567590367
gpt,2003_80,essays,SG,0.9863680440038228
gpt,2003_243,essays,SG,0.9789715564297325
gpt,2000_915058,essays,SG,0.9895908531725744
gpt,1999_832140,essays,SG,0.977945557256084
gpt,2003_129,essays,SG,0.982464050636302
gpt,1999_915632,essays,SG,0.9823211383212002
gpt,2002_856872,essays,SG,0.9794184163626567
gpt,1999_120173,essays,SG,0.9772078261539302
gpt,2004_380,essays,SG,0.9746657337513533
gpt,2000_897928,essays,SG,0.9902309134759475
gpt,1998_039155,essays,SG,0.9841841271138724
gpt,2002_892957,essays,SG,0.9814992675467165
gpt,1997_598253,essays,SG,0.9764609960492734
gpt,1998_519414,essays,SG,0.9892006498875978
gpt,1999_916457,essays,SG,0.9846983135601007
gpt,1999_598659,essays,SG,0.9849388638827732
gpt,2000_697879,essays,SG,0.9906677605194709
gpt,1997_892321,essays,SG,0.9760607954636135
gpt,1998_551027,essays,SG,0.9906008054333826
gpt,2000_892157,essays,SG,0.9701338780865649
gpt,2003_409,essays,SG,0.9828905956113692
gpt,2000_654054,essays,SG,0.9912854740507472
gpt,1999_509698,essays,SG,0.9815292966802871
gpt,2004_146,essays,SG,0.9732168048966228
gpt,1999_750682,essays,SG,0.9813147582868134
gpt,2002_772200,essays,SG,0.9669273781998761
gpt,1999_959624,essays,SG,0.9851351769954183
gpt,2000_046320,essays,SG,0.9855538529930238
gpt,2003_89,essays,SG,0.9846609624580824
gpt,1999_892569,essays,SG,0.9921034520671503
gpt,2000_696080,essays,SG,0.9532986200961773
gpt,2000_249703,essays,SG,0.9810307241959815
gpt,2003_311,essays,SG,0.9815303634391078
gpt,1998_891505,essays,SG,0.9773574153432734
gpt,2002_672755,essays,SG,0.9872354116388504
gpt,2002_595268,essays,SG,0.9741256026938192
gpt,2004_308,essays,SG,0.9811391624924666
gpt,2003_121,essays,SG,0.9807395596684227
gpt,2004_48,essays,SG,0.9731179462967766
gpt,1998_798053,essays,SG,0.9735765818310684
gpt,2000_954778,essays,SG,0.9686139615370774
gpt,2004_39,essays,SG,0.94266289961311
gpt,2000_491597,essays,SG,0.9749862869193924
gpt,1997_935738,essays,SG,0.9698103492418865
gpt,1997_897420,essays,SG,0.9668610129912554
gpt,1997_378661,essays,SG,0.9904869463866162
gpt,2002_438589,essays,SG,0.97636861372756
gpt,2003_368,essays,SG,0.9876718768276314
gpt,2000_777531,essays,SG,0.9822174779189103
gpt,1999_787983,essays,SG,0.9521154643588476
gpt,1999_718251,essays,SG,0.9741325643568634
gpt,1997_628043,essays,SG,0.9659144738385604
gpt,2000_914251,essays,SG,0.9807065952109806
gpt,1997_650973,essays,SG,0.9891606804743389
gpt,2000_479895,essays,SG,0.9859882119407847
gpt,2002_517265,essays,SG,0.9749576134880068
gpt,2000_631445,essays,SG,0.9778037963243849
gpt,2000_449662,essays,SG,0.9877697682197708
gpt,1998_537522,essays,SG,0.9885776741916431
gpt,2000_896506,essays,SG,0.9802945142654527
gpt,2002_736090,essays,SG,0.9691140817437969
gpt,2000_553656,essays,SG,0.9402208346339959
gpt,2000_476720,essays,SG,0.9723775263943727
gpt,1999_696933,essays,SG,0.9770883346052855
gpt,2002_105085,essays,SG,0.9796183227402672
gpt,1998_458998,essays,SG,0.9529532378993462
gpt,2004_498,essays,SG,0.9838405916114936
gpt,1997_739542,essays,SG,0.9645224520520775
gpt,1997_514574,essays,SG,0.9805262565025564
gpt,1997_956235,essays,SG,0.9892950375948444
gpt,2004_151,essays,SG,0.9865265123242326
gpt,2003_34,essays,SG,0.9676924900280957
gpt,2002_121479,essays,SG,0.9897589026610224
gpt,2000_554253,essays,SG,0.9767319474839979
gpt,2004_494,essays,SG,0.970897741920443
gpt,1998_559341,essays,SG,0.9767969843601321
gpt,2000_471124,essays,SG,0.9679401556816426
gpt,2000_973864,essays,SG,0.9664536197758404
gpt,2000_869726,essays,SG,0.9728322563604846
gpt,1997_512804,essays,SG,0.9695531369502355
gpt,2003_149,essays,SG,0.9848091653552349
gpt,1998_037552,essays,SG,0.9847744048127007
gpt,1997_160412,essays,SG,0.9862353529181
gpt,2003_420,essays,SG,0.9927473537185115
gpt,2000_511532,essays,SG,0.9849312812282631
gpt,2000_265656,essays,SG,0.9626523827723557
gpt,1997_891831,essays,SG,0.9844450379438445
gpt,2003_141,essays,SG,0.9895739883742409
gpt,2000_858070,essays,SG,0.9784118494189569
gpt,2002_016413,essays,SG,0.9743411554376687
gpt,1999_931394,essays,SG,0.9844654957222465
gpt,2000_915657,essays,SG,0.9778870547218249
gpt,2000_951640,essays,SG,0.9911714228129284
gpt,1999_674897,essays,SG,0.9765310401075586
gpt,2003_400,essays,SG,0.9816787840154351
gpt,1999_838987,essays,SG,0.9801143925887142
gpt,1997_460592,essays,SG,0.9721754945678913
gpt,1999_732551,essays,SG,0.975191493219528
gpt,2002_941898,essays,SG,0.9863675369458138
gpt,1999_609608,essays,SG,0.9843394201933092
gpt,2003_83,essays,SG,0.9699004343316365
gpt,1997_679495,essays,SG,0.9779959219186202
gpt,1997_754654,essays,SG,0.989735800540867
gpt,2002_917983,essays,SG,0.9814561801033227
gpt,1997_451038,essays,SG,0.9868918549925374
gpt,2003_26,essays,SG,0.9884185692453991
gpt,1997_819953,essays,SG,0.9511360022693808
gpt,1998_930178,essays,SG,0.9721777762949203
gpt,2003_231,essays,SG,0.9884173613481545
gpt,1998_759985,essays,SG,0.9956295999084122
gpt,2003_94,essays,SG,0.986817798775504
gpt,2000_896348,essays,SG,0.9923820725564856
gpt,2003_273,essays,SG,0.9884985371447831
gpt,2003_193,essays,SG,0.9694153263932113
gpt,1997_936626,essays,SG,0.9669737434695536
gpt,2000_366096,essays,SG,0.9845077766076629
gpt,1998_853141,essays,SG,0.9626833000181101
gpt,2003_136,essays,SG,0.9795286955315576
gpt,2000_732735,essays,SG,0.977631148165881
gpt,2000_716913,essays,SG,0.9898349780032306
gpt,1997_913139,essays,SG,0.9798382664421031
gpt,1998_191094,essays,SG,0.9755038235775968
gpt,1997_672345,essays,SG,0.9870788566119637
gpt,1999_657716,essays,SG,0.9776508241030565
gpt,2003_82,essays,SG,0.9712709024902376
gpt,1998_816714,essays,SG,0.9756569385611242
gpt,1997_760578,essays,SG,0.9659431870766253
gpt,2002_898153,essays,SG,0.9791612253578778
gpt,2004_58,essays,SG,0.9859153286084102
gpt,2000_957713,essays,SG,0.9907975635288705
gpt,2004_361,essays,SG,0.9262782570625219
gpt,1999_504631,essays,SG,0.980042357967371
gpt,1998_910501,essays,SG,0.9753152916813521
gpt,2000_952120,essays,SG,0.9735031605030309
gpt,2000_192088,essays,SG,0.9890048000145282
gpt,2004_279,essays,SG,0.9734968559009243
gpt,1999_539537,essays,SG,0.9834596507162776
gpt,2004_373,essays,SG,0.9939492716874173
gpt,1999_051990,essays,SG,0.9701129312368156
gpt,2000_691500,essays,SG,0.9695088713373484
gpt,2002_033027,essays,SG,0.9766783144930227
gpt,2003_251,essays,SG,0.9399651458702192
gpt,2002_372968,essays,SG,0.9610594193799036
gpt,2003_144,essays,SG,0.9879295298340875
gpt,2002_657764,essays,SG,0.9859205236232103
gpt,1998_477189,essays,SG,0.9872562706938371
gpt,2000_890512,essays,SG,0.9921097921835952
gpt,2003_119,essays,SG,0.9842777160159687
gpt,2000_916422,essays,SG,0.9820185921316803
gpt,1998_957413,essays,SG,0.9820298831120373
gpt,1999_575476,essays,SG,0.9840079919067849
gpt,1998_815480,essays,SG,0.9888061014888192
gpt,1998_535986,essays,SG,0.986954536474616
gpt,1999_916707,essays,SG,0.9875238586446048
gpt,2003_285,essays,SG,0.9945192930933145
gpt,2004_339,essays,SG,0.9665094349685914
gpt,2000_613264,essays,SG,0.9789513637276441
gpt,2004_468,essays,SG,0.9841659235464185
gpt,2003_554,essays,SG,0.9814300730952237
gpt,1999_036696,essays,SG,0.9715899413337359
gpt,1999_890629,essays,SG,0.9764174324230213
gpt,1999_818192,essays,SG,0.9873085716452883
gpt,2002_693141,essays,SG,0.9821972510877197
gpt,1999_874234,essays,SG,0.9741577712402065
gpt,2003_184,essays,SG,0.9776296268431874
gpt,2004_324,essays,SG,0.9818579783953982
gpt,1999_699577,essays,SG,0.9868674446412755
gpt,1998_090119,essays,SG,0.9885909468299112
gpt,2004_217,essays,SG,0.9720059252502142
gpt,1999_927566,essays,SG,0.9704179573733248
gpt,1998_789844,essays,SG,0.9814282816024176
gpt,2002_932909,essays,SG,0.9838833422109855
gpt,1998_955304,essays,SG,0.9756140898535106
gpt,1997_511579,essays,SG,0.964833349451995
gpt,2000_952391,essays,SG,0.9819238503164469
gpt,1999_679211,essays,SG,0.969094275549356
gpt,2003_374,essays,SG,0.9770712462707556
gpt,2000_201617,essays,SG,0.9938743782978631
gpt,1997_856276,essays,SG,0.9845253716386881
gpt,2004_2,essays,SG,0.9769758320007154
gpt,2000_071231,essays,SG,0.9811094054459533
gpt,1998_531732,essays,SG,0.9869155731887211
gpt,2002_078803,essays,SG,0.9761886533676954
gpt,2002_143981,essays,SG,0.9828723077621575
gpt,1997_731982,essays,SG,0.979648251068211
gpt,2003_338,essays,SG,0.9579015270889035
gpt,2003_8,essays,SG,0.9758960626245119
gpt,2000_710213,essays,SG,0.970601484284653
gpt,2002_990120,essays,SG,0.9800775100056094
gpt,2003_100,essays,SG,0.9816560972291415
gpt,1999_656142,essays,SG,0.9735485035292417
gpt,1998_899161,essays,SG,0.9815156142649764
gpt,1999_931826,essays,SG,0.9833616727950014
gpt,2000_831232,essays,SG,0.9676534398203951
gpt,2004_29,essays,SG,0.9654823306327674
gpt,2002_659456,essays,SG,0.9815131508438393
gpt,1998_333355,essays,SG,0.9819994198315374
gpt,2004_452,essays,SG,0.9771296176878732
gpt,1999_517561,essays,SG,0.9625372524728171
gpt,1999_950942,essays,SG,0.9645919331711343
gpt,2003_509,essays,SG,0.9836482479793581
gpt,2000_136760,essays,SG,0.9654215298182572
gpt,1999_672030,essays,SG,0.9714605667751476
gpt,1997_513925,essays,SG,0.9871695710914703
gpt,1997_417075,essays,SG,0.9859296429215952
gpt,2000_708835,essays,SG,0.980199735961204
gpt,2004_55,essays,SG,0.9869109628461135
gpt,1999_877795,essays,SG,0.9810764305415974
gpt,1997_657222,essays,SG,0.9850834918605962
gpt,2002_696024,essays,SG,0.983201257527527
gpt,2003_130,essays,SG,0.9904934176362066
gpt,2003_319,essays,SG,0.9463316593846283
gpt,2002_690292,essays,SG,0.9680889925678293
gpt,1997_736368,essays,SG,0.9731058710529854
gpt,1997_654932,essays,SG,0.9900917730588552
gpt,1999_915239,essays,SG,0.9735639916515166
gpt,2002_896653,essays,SG,0.9788408718499477
gpt,2004_377,essays,SG,0.9839665647395106
gpt,2002_155948,essays,SG,0.977382300058387
gpt,1999_015497,essays,SG,0.9780854251396253
gpt,1999_573121,essays,SG,0.9745955451312188
gpt,2002_730158,essays,SG,0.9755223276128864
gpt,2000_538230,essays,SG,0.9739933421774704
gpt,1998_493717,essays,SG,0.9723000315620205
gpt,1998_494559,essays,SG,0.9812732299705826
gpt,2000_954100,essays,SG,0.98300536800664
gpt,1998_750868,essays,SG,0.9692201992663838
gpt,2004_294,essays,SG,0.9701435931714726
gpt,1998_475183,essays,SG,0.9875209778375664
gpt,2000_752178,essays,SG,0.9948329160238161
gpt,1999_658945,essays,SG,0.9825431334940344
gpt,1997_430172,essays,SG,0.9641717679515295
gpt,1997_435058,essays,SG,0.9814164879664257
gpt,2003_127,essays,SG,0.9843692915235293
gpt,2002_804782,essays,SG,0.9653287070317746
gpt,1999_510014,essays,SG,0.9687915165799825
gpt,2004_309,essays,SG,0.9915615100921231
gpt,2003_24,essays,SG,0.9784976110593294
gpt,2002_226723,essays,SG,0.975148799899455
gpt,1999_048437,essays,SG,0.971760292687244
gpt,2004_286,essays,SG,0.979713451724274
gpt,1999_531209,essays,SG,0.9508355758552397
gpt,2002_698229,essays,SG,0.9896514365969344
gpt,2000_897981,essays,SG,0.9857804548955538
gpt,1999_533810,essays,SG,0.9857281778338859
gpt,1999_917031,essays,SG,0.9816583026006899
gpt,2004_222,essays,SG,0.9796280339168644
gpt,2002_835543,essays,SG,0.9774842578114495
gpt,2000_576262,essays,SG,0.9873640796325338
gpt,2002_556484,essays,SG,0.9850880114957792
